"Fragment","Scaffold.ID","Gene.Start","Gene.End","bp.Start","bp.End","Fragment.Length"
"2643222989_Cab_131026-gene_3237-gene_3334",2643222989,3237,3334,4274339,4345746,71407
"646564597_NC_014012-gene_2007-gene_2037",646564597,2007,2037,2505011,2528729,23718
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_4119-gene_4180",2526166977,4119,4180,4658820,4703210,44390
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2475-gene_2515",2526166977,2475,2515,2763218,2797702,34484
"2524031326_Shewanella-gene_1665-gene_1720",2524031326,1665,1720,1952220,1998477,46257
"2619690354_Ga0074067_11-gene_1683-gene_1739",2619690354,1683,1739,1867246,1907731,40485
"2619690354_Ga0074067_11-gene_3019-gene_3085",2619690354,3019,3085,3258811,3308244,49433
"2619690354_Ga0074067_11-gene_3758-gene_3822",2619690354,3758,3822,4032892,4086706,53814
"637000611_NC_008322-gene_717-gene_769",637000611,717,769,819483,855165,35682
"644736375_NC_012850-gene_823-gene_861",644736375,823,861,836942,861202,24260
"639633068_NC_008576-gene_2853-gene_3064",639633068,2853,3064,3450321,3618086,167765
"639633068_NC_008576-gene_2665-gene_2747",639633068,2665,2747,3230037,3315977,85940
"639633068_NC_008576-gene_1792-gene_1805",639633068,1792,1805,2118243,2128708,10465
"639633068_NC_008576-gene_1761-gene_1772",639633068,1761,1772,2086351,2095198,8847
"639633068_NC_008576-gene_2092-gene_2188",639633068,2092,2188,2482937,2569493,86556
"639633068_NC_008576-gene_1292-gene_1425",639633068,1292,1425,1527944,1634506,106562
"650716032_NC_015275-gene_951-gene_1022",650716032,951,1022,1097422,1137768,40346
"650716032_NC_015275-gene_2749-gene_2844",650716032,2749,2844,2984437,3049840,65403
"650716032_NC_015275-gene_735-gene_900",650716032,735,900,914850,1048086,133236
"650716032_NC_015275-gene_1198-gene_1217",650716032,1198,1217,1347441,1365519,18078
"650716032_NC_015275-gene_1849-gene_1912",650716032,1849,1912,2051269,2090332,39063
"639633107_NC_008750-gene_2904-gene_2975",639633107,2904,2975,3308788,3365148,56360
"639633107_NC_008750-gene_2480-gene_2560",639633107,2480,2560,2832008,2887378,55370
"2506213072_Contig398-gene_1804-gene_1865",2506213072,1804,1865,2005664,2053485,47821
"2506213072_Contig398-gene_4176-gene_4195",2506213072,4176,4195,4652481,4664967,12486
"2524031327_Shewanella-gene_3320-gene_3369",2524031327,3320,3369,3865190,3906314,41124
"2517487235_scaffold00006-gene_2294-gene_2391",2517487235,2294,2391,2349298,2426553,77255
"2521194441_CP003845-gene_2449-gene_2500",2521194441,2449,2500,2891581,2933581,42000
"650377919_CP001978-gene_1950-gene_2018",650377919,1950,2018,2063045,2110993,47948
"650377919_CP001978-gene_644-gene_703",650377919,644,703,671039,712504,41465
"642555224_NC_011138-gene_754-gene_825",642555224,754,825,834034,889750,55716
"2597512639_Ga0036914_gi564132530_1-gene_2218-gene_2230",2597512639,2218,2230,2399994,2408175,8181
"2597512639_Ga0036914_gi564132530_1-gene_1146-gene_1179",2597512639,1146,1179,1238745,1276442,37697
"2721800935_Ga0175699_12-gene_2062-gene_2159",2721800935,2062,2159,2138964,2233801,94837
"2721800935_Ga0175699_12-gene_1067-gene_1088",2721800935,1067,1088,1126960,1143473,16513
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2113-gene_2204",2521191523,2113,2204,2203286,2280615,77329
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2017-gene_2055",2521191523,2017,2055,2116226,2145392,29166
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_1-gene_82",2521191523,1,82,0,63298,63298
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_1517-gene_1561",2521191523,1517,1561,1606892,1639329,32437
"2512569605_Leime_Contig76_3-gene_3039-gene_3094",2512569605,3039,3094,3066207,3120558,54351
"2512569605_Leime_Contig76_3-gene_1289-gene_1357",2512569605,1289,1357,1295144,1343567,48423
"2512569605_Leime_Contig76_3-gene_1786-gene_1861",2512569605,1786,1861,1791364,1854045,62681
"2512569605_Leime_Contig76_3-gene_2139-gene_2184",2512569605,2139,2184,2141757,2177757,36000
"2687454401_Ga0133388_11-gene_2032-gene_2128",2687454401,2032,2128,2114360,2195720,81360
"2687454401_Ga0133388_11-gene_2609-gene_2695",2687454401,2609,2695,2734000,2804434,70434
"2687454401_Ga0133388_11-gene_3574-gene_3699",2687454401,3574,3699,3767093,3867276,100183
"2667542047_Ga0105927_11-gene_3574-gene_3693",2667542047,3574,3693,3771957,3868806,96849
"2667542047_Ga0105927_11-gene_2041-gene_2135",2667542047,2041,2135,2118291,2199626,81335
"2667542047_Ga0105927_11-gene_2614-gene_2700",2667542047,2614,2700,2737904,2808661,70757
"2622780072_scf7180000000004-gene_1974-gene_2063",2622780072,1974,2063,2351852,2430539,78687
"637000159_NC_003911-gene_1040-gene_1075",637000159,1040,1075,1080764,1105118,24354
"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1-gene_2375-gene_2437",2558913391,2375,2437,2766915,2814914,47999
"637000312_NC_006370-gene_1312-gene_1372",637000312,1312,1372,1478766,1530840,52074
"646564576_NC_013960-gene_932-gene_1037",646564576,932,1037,954143,1034729,80586
"2512205695_CP002987-gene_3566-gene_3646",2512205695,3566,3646,3955988,4009903,53915
"2512205695_CP002987-gene_3164-gene_3224",2512205695,3164,3224,3568170,3601737,33567
"2667542034_Ga0114080_11-gene_2641-gene_2706",2667542034,2641,2706,2266564,2311513,44949
"2511244427_NC_016078-gene_672-gene_732",2511244427,672,732,676603,719639,43036
"2511244427_NC_016078-gene_909-gene_925",2511244427,909,925,916135,932318,16183
"2667541935_Ga0102658_12-gene_1305-gene_1353",2667541935,1305,1353,1485562,1523601,38039
"2597520218_Ga0032872_gi461490773_1-gene_433-gene_485",2597520218,433,485,506714,542314,35600
"647533601_NZ_DS995281-gene_3189-gene_3242",647533601,3189,3242,3275278,3337031,61753
"2645768409_Ga0069294_12-gene_1623-gene_1688",2645768409,1623,1688,1857872,1898581,40709
"650716102_NC_015590-gene_229-gene_295",650716102,229,295,264429,314278,49849
"650716102_NC_015590-gene_1342-gene_1435",650716102,1342,1435,1377451,1449441,71990
"650716102_NC_015590-gene_1805-gene_1848",650716102,1805,1848,1841924,1873068,31144
"650716102_NC_015590-gene_750-gene_840",650716102,750,840,790860,851832,60972
"650716102_NC_015590-gene_2233-gene_2317",650716102,2233,2317,2288740,2355208,66468
"641522729_NC_010674-gene_862-gene_917",641522729,862,917,935466,973377,37911
"641522729_NC_010674-gene_1816-gene_1896",641522729,1816,1896,1979655,2030044,50389
"641522729_NC_010674-gene_2305-gene_2328",641522729,2305,2328,2463246,2483517,20271
"639633066_NC_008571-gene_2228-gene_2314",639633066,2228,2314,2547178,2605024,57846
"647533810_NZ_DS999213-gene_3456-gene_3479",647533810,3456,3479,3580544,3600594,20050
"2690318780_Ga0045920_11-gene_868-gene_923",2690318780,868,923,936395,974306,37911
"2690318780_Ga0045920_11-gene_1827-gene_1921",2690318780,1827,1921,1980589,2046533,65944
"2690318780_Ga0045920_11-gene_2646-gene_2739",2690318780,2646,2739,2813381,2874917,61536
"2690318780_Ga0045920_11-gene_2318-gene_2341",2690318780,2318,2341,2464182,2484453,20271
"640753071_NC_009783-gene_1750-gene_1832",640753071,1750,1832,1945668,2014249,68581
"640753071_NC_009783-gene_2103-gene_2124",640753071,2103,2124,2305531,2320928,15397
"2561541728_CP006605-gene_366-gene_387",2561541728,366,387,410068,425465,15397
"2561541728_CP006605-gene_664-gene_745",2561541728,664,745,715573,784101,68528
"637000620_NC_008358-gene_2448-gene_2531",637000620,2448,2531,2600270,2709098,108828
"2648578723_Ga0045936_12-gene_1323-gene_1352",2648578723,1323,1352,1515663,1536111,20448
"2648578723_Ga0045936_12-gene_2016-gene_2109",2648578723,2016,2109,2296214,2377697,81483
"2540348203_FO203427-gene_2262-gene_2352",2540348203,2262,2352,2477813,2569803,91990
"647533454_NZ_DS989898-gene_1834-gene_1925",647533454,1834,1925,1883599,1963726,80127
"637000323_NC_006510-gene_498-gene_574",637000323,498,574,538104,581745,43641
"646311903_NC_013222-gene_2691-gene_2741",646311903,2691,2741,3087155,3128656,41501
"637000284_NC_006138-gene_1537-gene_1593",637000284,1537,1593,1735086,1787735,52649
"637000284_NC_006138-gene_1986-gene_2086",637000284,1986,2086,2255392,2373762,118370
"2512211939_PhacaeDRAFT_Scaffold1_6-gene_3366-gene_3405",2512211939,3366,3405,3496131,3520745,24614
"2512211939_PhacaeDRAFT_Scaffold1_6-gene_1-gene_35",2512211939,1,35,0,21245,21245
"2512211939_PhacaeDRAFT_Scaffold1_6-gene_2735-gene_2790",2512211939,2735,2790,2857205,2898302,41097
"2724812732_K10K4_chromosome1-gene_1532-gene_1548",2724812732,1532,1548,1701740,1711489,9749
"2724812732_K10K4_chromosome1-gene_1209-gene_1253",2724812732,1209,1253,1355664,1393405,37741
"2724812413_K04M3_chromosome1-gene_1209-gene_1253",2724812413,1209,1253,1355665,1393406,37741
"2724812419_K05K4_chromosome1-gene_1557-gene_1573",2724812419,1557,1573,1718183,1727552,9369
"2724812419_K05K4_chromosome1-gene_1231-gene_1275",2724812419,1231,1275,1372107,1409848,37741
"2724812408_K04M1_chromosome1-gene_1240-gene_1284",2724812408,1240,1284,1377940,1415681,37741
"2724812723_K06K5_chromosome1-gene_1241-gene_1285",2724812723,1241,1285,1377416,1415157,37741
"2724812416_K04M5_chromosome1-gene_1207-gene_1251",2724812416,1207,1251,1355665,1393406,37741
"2724812406_K01M1_chromosome1-gene_1233-gene_1277",2724812406,1233,1277,1374410,1412151,37741
"2724812734_K08M3_chromosome1-gene_1230-gene_1274",2724812734,1230,1274,1372951,1410692,37741
"2724812731_K09K1_contig000002-gene_302-gene_346",2724812731,302,346,319923,357665,37742
"2724812731_K09K1_contig000002-gene_1-gene_22",2724812731,1,22,415,11584,11169
"2718228555_Ga0175862_11-gene_3168-gene_3266",2718228555,3168,3266,3222652,3327670,105018
"2718228555_Ga0175862_11-gene_3274-gene_3361",2718228555,3274,3361,3337144,3428222,91078
"2718228555_Ga0175862_11-gene_1409-gene_1459",2718228555,1409,1459,1405091,1454648,49557
"2718227896_Ga0175494_11-gene_2146-gene_2191",2718227896,2146,2191,2589586,2628299,38713
"2627905620_Ga0077997_11-gene_2472-gene_2532",2627905620,2472,2532,2479605,2523479,43874
"642555204_NC_011026-gene_256-gene_282",642555204,256,282,303948,325903,21955
"2549075848_RCA23c-gene_2282-gene_2353",2549075848,2282,2353,2370338,2440463,70125
"646311952_NC_013456-gene_1805-gene_1819",646311952,1805,1819,2033154,2046026,12872
"637000417_NC_007481-gene_1433-gene_1478",637000417,1433,1478,1587400,1623178,35778
"643348691_NC_011963-gene_2988-gene_3036",643348691,2988,3036,3078658,3117660,39002
"643348691_NC_011963-gene_323-gene_394",643348691,323,394,325768,378487,52719
"2718228560_Ga0175864_11-gene_679-gene_734",2718228560,679,734,786863,827832,40969
"2627853750_Ga0079189_11-gene_2309-gene_2332",2627853750,2309,2332,2407663,2423005,15342
"2627853750_Ga0079189_11-gene_1059-gene_1101",2627853750,1059,1101,1103948,1128199,24251
"2627853750_Ga0079189_11-gene_2109-gene_2159",2627853750,2109,2159,2205281,2241253,35972
"2627853750_Ga0079189_11-gene_2747-gene_2783",2627853750,2747,2783,2877000,2902278,25278
"2627853750_Ga0079189_11-gene_728-gene_784",2627853750,728,784,764742,804560,39818
"2627853750_Ga0079189_11-gene_2403-gene_2446",2627853750,2403,2446,2506820,2537239,30419
"2627853750_Ga0079189_11-gene_1309-gene_1413",2627853750,1309,1413,1352277,1437697,85420
"2627853750_Ga0079189_11-gene_829-gene_894",2627853750,829,894,857046,917003,59957
"647535429_NZ_GG704599-gene_2480-gene_2540",647535429,2480,2540,2530324,2587246,56922
"649633102_NC_014831-gene_17-gene_67",649633102,17,67,19306,59135,39829
"647533516_NZ_DS990556-gene_1296-gene_1378",647533516,1296,1378,1284195,1355092,70897
"647533516_NZ_DS990556-gene_624-gene_664",647533516,624,664,616306,656141,39835
"2507267694_KS100_Contig_1-gene_2693-gene_2762",2507267694,2693,2762,2613864,2685797,71933
"2507267694_KS100_Contig_1-gene_203-gene_232",2507267694,203,232,226877,254576,27699
"2507267694_KS100_Contig_1-gene_2020-gene_2084",2507267694,2020,2084,1950549,2008165,57616
"646564595_NC_014010-gene_2295-gene_2316",646564595,2295,2316,2466286,2484416,18130
"646564595_NC_014010-gene_370-gene_416",646564595,370,416,384275,428636,44361
"2718229246_Ga0175211_11-gene_2496-gene_2531",2718229246,2496,2531,2527993,2547486,19493
"2718229246_Ga0175211_11-gene_1632-gene_1696",2718229246,1632,1696,1677150,1717632,40482
"2571071633_BS76DRAFT_scf7180000000002_quiver_dupTrim_10022_1-gene_509-gene_575",2571071633,509,575,529035,577899,48864
"2718228072_Ga0174827_11-gene_1031-gene_1050",2718228072,1031,1050,1110568,1127528,16960
"637000441_NC_007516-gene_539-gene_587",637000441,539,587,516757,552640,35883
"637000441_NC_007516-gene_1761-gene_1851",637000441,1761,1851,1548638,1609705,61067
"2571156966_P166DRAFT_scf7180000000008_quiver_2-gene_408-gene_460",2571156966,408,460,451582,487311,35729
"2675923119_Ga0104434_115-circular-gene_43-gene_152",2675923119,43,152,27608,123395,95787
"2515169221_B108DRAFT_scaffold_25_26-circular-gene_3-gene_14",2515169221,3,14,1960,16733,14773
"2524663017_G410DRAFT_scaffold00003_3-circular-gene_442-gene_469",2524663017,442,469,441096,230,-440866
"2588286426_JAMC01000014-circular-gene_3-gene_18",2588286426,3,18,890,15358,14468
"2627929999_Ga0072914_123-circular-gene_1-gene_17",2627929999,1,17,128,9898,9770
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_2737-gene_2781",2517093774,2737,2781,2615499,2645261,29762
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_6-gene_37",2517093774,6,37,5336,27908,22572
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_1000-gene_1097",2517093774,1000,1097,933842,1006510,72668
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_1105-gene_1199",2517093774,1105,1199,1013501,1072615,59114
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_831-gene_853",2517093774,831,853,779187,793750,14563
"647533410_NZ_DS989854-circular-gene_108-gene_136",647533410,108,136,167050,197637,30587
"647533410_NZ_DS989854-circular-gene_1-gene_86",647533410,1,86,0,121490,121490
"2585503063_EJ41DRAFT_scaffold00022_22-circular-gene_11-gene_33",2585503063,11,33,6648,27630,20982
"2519109854_F550DRAFT_scaffold00001_1-circular-gene_2034-gene_2059",2519109854,2034,2059,2094654,2116558,21904
"2537605091_AODW01000026-circular-gene_76-gene_93",2537605091,76,93,73462,85457,11995
"2519942254_C505DRAFT_scaffold00018_18-circular-gene_25-gene_80",2519942254,25,80,25826,64448,38622
"2540355318_H276DRAFT_scaffold00001_1-circular-gene_3183-gene_3282",2540355318,3183,3282,3321195,3425231,104036
"2630977689_Ga0081190_11-gene_6748-gene_6761",2630977689,6748,6761,9544825,9557968,13143
"2630977689_Ga0081190_11-gene_4539-gene_4628",2630977689,4539,4628,6482882,6583593,100711
"2630977689_Ga0081190_11-gene_4792-gene_4891",2630977689,4792,4891,6828725,6968914,140189
"2630977689_Ga0081190_11-gene_827-gene_924",2630977689,827,924,1110493,1247883,137390
"2630977689_Ga0081190_11-gene_2458-gene_2533",2630977689,2458,2533,3430431,3541910,111479
"2524708640_K337DRAFT_scaffold00002_2-circular-gene_452-gene_550",2524708640,452,550,462969,552693,89724
"2523241327_G578DRAFT_scaffold00006_6-circular-gene_57-gene_74",2523241327,57,74,48651,61595,12944
"647533937_NZ_DS999412-circular-gene_3605-gene_3702",647533937,3605,3702,3939838,4028861,89023
"2551322073_A132DRAFT_AJYX01000047_1_47-circular-gene_8-gene_29",2551322073,8,29,9838,30399,20561
"2630977684_Ga0081187_11-circular-gene_5613-gene_5707",2630977684,5613,5707,7606015,7719752,113737
"2630977684_Ga0081187_11-circular-gene_1095-gene_1216",2630977684,1095,1216,1487507,1631054,143547
"2630977684_Ga0081187_11-circular-gene_2685-gene_2781",2630977684,2685,2781,3623370,3752077,128707
"2630977684_Ga0081187_11-circular-gene_4673-gene_4725",2630977684,4673,4725,6375942,6425443,49501
"2630977684_Ga0081187_11-circular-gene_2415-gene_2490",2630977684,2415,2490,3240842,3331029,90187
"2630977684_Ga0081187_11-circular-gene_828-gene_924",2630977684,828,924,1106606,1234076,127470
"2630977684_Ga0081187_11-circular-gene_6413-gene_6428",2630977684,6413,6428,8680596,8693336,12740
"2718228070_Ga0174825_11-gene_5539-gene_5638",2718228070,5539,5638,7799776,7939965,140189
"2718228070_Ga0174825_11-gene_5802-gene_5891",2718228070,5802,5891,8185097,8285808,100711
"2718228070_Ga0174825_11-gene_1046-gene_1120",2718228070,1046,1120,1553672,1665151,111479
"2718228070_Ga0174825_11-gene_2654-gene_2751",2718228070,2654,2751,3847699,3985089,137390
"2718228070_Ga0174825_11-gene_3669-gene_3682",2718228070,3669,3682,5210722,5223865,13143
"646311943_NC_013440-gene_873-gene_992",646311943,873,992,1121299,1241803,120504
"646311943_NC_013440-gene_1566-gene_1665",646311943,1566,1665,2096300,2228050,131750
"646311943_NC_013440-gene_6459-gene_6512",646311943,6459,6512,8712981,8786032,73051
"646311943_NC_013440-gene_2885-gene_2983",646311943,2885,2983,3901505,4011359,109854
"646311943_NC_013440-gene_1131-gene_1193",646311943,1131,1193,1429988,1494345,64357
"646311943_NC_013440-gene_1223-gene_1298",646311943,1223,1298,1559422,1674167,114745
"646311943_NC_013440-gene_2613-gene_2694",646311943,2613,2694,3574267,3674500,100233
"646311943_NC_013440-gene_3076-gene_3172",646311943,3076,3172,4195889,4313830,117941
"650716148_NC_015711-gene_1881-gene_2147",650716148,1881,2147,2205341,2511960,306619
"650716148_NC_015711-gene_3139-gene_3236",650716148,3139,3236,3634976,3741271,106295
"650716148_NC_015711-gene_1364-gene_1462",650716148,1364,1462,1605066,1718126,113060
"650716148_NC_015711-gene_878-gene_992",650716148,878,992,1045169,1174972,129803
"2631041829_Ga0081470_101-gene_4803-gene_4899",2631041829,4803,4899,6180476,6301592,121116
"2631041829_Ga0081470_101-gene_874-gene_970",2631041829,874,970,1109040,1224964,115924
"2631041829_Ga0081470_101-gene_3753-gene_3813",2631041829,3753,3813,4856722,4924358,67636
"2631041750_Ga0081465_101-gene_2206-gene_2295",2631041750,2206,2295,2863666,2956141,92475
"2631041750_Ga0081465_101-gene_3177-gene_3262",2631041750,3177,3262,4106562,4227524,120962
"2631041750_Ga0081465_101-gene_1867-gene_1926",2631041750,1867,1926,2396611,2467466,70855
"2631041750_Ga0081465_101-gene_4134-gene_4229",2631041750,4134,4229,5349319,5453043,103724
"637000606_NC_008312-gene_4078-gene_4123",637000606,4078,4123,6533157,6576535,43378
"637000606_NC_008312-gene_1286-gene_1382",637000606,1286,1382,2106565,2242912,136347
"637000606_NC_008312-gene_3386-gene_3484",637000606,3386,3484,5405655,5544111,138456
"637000606_NC_008312-gene_2943-gene_3042",637000606,2943,3042,4713202,4829141,115939
"637000606_NC_008312-gene_1114-gene_1208",637000606,1114,1208,1849434,1966962,117528
"637000606_NC_008312-gene_282-gene_299",637000606,282,299,470714,475205,4491
"637000606_NC_008312-gene_4711-gene_4800",637000606,4711,4800,7446415,7529688,83273
"637000467_NC_007645-gene_3517-gene_3550",637000467,3517,3550,4015384,4055166,39782
"637000467_NC_007645-gene_3387-gene_3472",637000467,3387,3472,3866134,3953635,87501
"637000467_NC_007645-gene_3236-gene_3309",637000467,3236,3309,3698631,3771374,72743
"637000467_NC_007645-gene_6362-gene_6418",637000467,6362,6418,7115730,7187335,71605
"637000467_NC_007645-gene_2880-gene_2978",637000467,2880,2978,3242227,3356516,114289
"637000233_NC_005027-gene_1561-gene_1633",637000233,1561,1633,2156629,2242457,85828
"637000233_NC_005027-gene_4489-gene_4588",637000233,4489,4588,6130429,6236992,106563
"637000233_NC_005027-gene_1-gene_28",637000233,1,28,0,30326,30326
"650716066_NC_015434-gene_2221-gene_2325",650716066,2221,2325,2371225,2477888,106663
"650716066_NC_015434-gene_579-gene_663",650716066,579,663,605894,696261,90367
"650716066_NC_015434-gene_2471-gene_2528",650716066,2471,2528,2660767,2707994,47227
"650716066_NC_015434-gene_5848-gene_5939",650716066,5848,5939,6415347,6529768,114421
"643692052_NC_012490-gene_2927-gene_2959",643692052,2927,2959,3072397,3097283,24886
"643692052_NC_012490-gene_2081-gene_2105",643692052,2081,2105,2239896,2260962,21066
"2508527215_MycrhN_Contig54_1-gene_2757-gene_2855",2508527215,2757,2855,2801592,2893013,91421
"2506535018_Aquba_Contig381-gene_3222-gene_3322",2506535018,3222,3322,3969746,4076128,106382
