"Taxon.oid","Domain","Status","Genome.Name","IMG.Genome.ID","Phylum","Class","Order","Family","Genus","Species","NCBI.Taxon.ID","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy"
2721756004,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_L21 (unscreened)",2721756004,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_L21","No","Environmental","Aquatic","Marine","Oceanic",910744,1020,118,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721756007,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 02_F18 (unscreened)",2721756007,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 02_F18","No","Environmental","Aquatic","Marine","Oceanic",86400,126,13,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2724679606,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 02_F7 (unscreened)",2724679606,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 02_F7","No","Environmental","Aquatic","Marine","Oceanic",229449,300,54,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721755957,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 02_G18 (contamination screened)",2721755957,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 02_G18","No","Environmental","Aquatic","Marine","Oceanic",861277,957,23,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721755947,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 02_G18 (unscreened)",2721755947,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 02_G18","No","Environmental","Aquatic","Marine","Oceanic",913061,1026,34,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721755974,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 02_L8 (unscreened)",2721755974,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 02_L8","No","Environmental","Aquatic","Marine","Oceanic",45533,56,14,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721755967,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 04_F11 (contamination screened)",2721755967,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 04_F11","No","Environmental","Aquatic","Marine","Oceanic",459181,523,24,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721755966,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 04_F11 (unscreened)",2721755966,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 04_F11","No","Environmental","Aquatic","Marine","Oceanic",584398,679,50,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2724679907,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 04_J18 (unscreened)",2724679907,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 04_J18","No","Environmental","Aquatic","Marine","Oceanic",115304,164,31,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721756046,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI _01_G15 (contamination screened)",2721756046,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI _01_G15","No","Environmental","Aquatic","Marine","Oceanic",513055,506,22,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721756013,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI _01_G15 (unscreened)",2721756013,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI _01_G15","No","Environmental","Aquatic","Marine","Oceanic",703027,708,62,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2651870138,"Bacteria","Draft","Acidimicrobiia bacterium REDSEA-S09_B7",2651870138,"Actinobacteria","Acidimicrobiia","unclassified","unclassified","unclassified","unclassified",84992,"","No","Environmental","Aquatic","Marine","",2023823,2276,226,"Genome from Metagenome","Metagenome"
2651870139,"Bacteria","Draft","Acidimicrobiia bacterium REDSEA-S14_B4",2651870139,"Actinobacteria","Acidimicrobiia","unclassified","unclassified","unclassified","unclassified",84992,"","No","Environmental","Aquatic","Marine","",2120129,2336,257,"Genome from Metagenome","Metagenome"
2651870140,"Bacteria","Draft","Acidimicrobiia bacterium REDSEA-S20_B6",2651870140,"Actinobacteria","Acidimicrobiia","unclassified","unclassified","unclassified","unclassified",84992,"","No","Environmental","Aquatic","Marine","",1785620,2064,338,"Genome from Metagenome","Metagenome"
2651870141,"Bacteria","Draft","Acidimicrobiia bacterium REDSEA-S21_B10",2651870141,"Actinobacteria","Acidimicrobiia","unclassified","unclassified","unclassified","unclassified",84992,"","No","Environmental","Aquatic","Marine","",1757123,2037,328,"Genome from Metagenome","Metagenome"
2651870142,"Bacteria","Draft","Acidimicrobiia bacterium REDSEA-S33_B8N9",2651870142,"Actinobacteria","Acidimicrobiia","unclassified","unclassified","unclassified","unclassified",84992,"","No","Environmental","Aquatic","Marine","",2171334,2380,262,"Genome from Metagenome","Metagenome"
2654588096,"Bacteria","Permanent Draft","Acidithiobacillales bacterium SG8_45",2654588096,"Proteobacteria","Acidithiobacillia","Acidithiobacillales","unclassified","unclassified","Acidithiobacillales bacterium SG8_45",1703383,"","No","Environmental","Aquatic","Marine","Oceanic",2283082,2422,98,"Genome from Metagenome","Metagenome"
2654587931,"Bacteria","Permanent Draft","Acidithiobacillales bacterium SM1_46",2654587931,"Proteobacteria","Acidithiobacillia","Acidithiobacillales","unclassified","unclassified","Acidithiobacillales bacterium SM1_46",1703384,"","No","Environmental","Aquatic","Marine","Oceanic",2616358,2846,182,"Genome from Metagenome","Metagenome"
2654587932,"Bacteria","Permanent Draft","Acidithiobacillales bacterium SM23_46",2654587932,"Proteobacteria","Acidithiobacillia","Acidithiobacillales","unclassified","unclassified","Acidithiobacillales bacterium SM23_46",1703385,"","No","Environmental","Aquatic","Marine","Oceanic",2826034,3110,263,"Genome from Metagenome","Metagenome"
2609459639,"Bacteria","Draft","Acidobacteria bacterium SCGC AD-613-A22 (contamination screened)",2609459639,"Acidobacteria","unclassified","unclassified","unclassified","unclassified","unclassified",57727,"SCGC AD-613-A22","No","Environmental","Aquatic","Marine","Oceanic",916421,934,80,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721756103,"Bacteria","Permanent Draft","Acidobacterium bacterium JGI 01_L10 (contamination screened)",2721756103,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium","unclassified",33973,"JGI 01_L10","No","Environmental","Aquatic","Marine","Oceanic",1465108,1263,65,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721756062,"Bacteria","Permanent Draft","Acidobacterium bacterium JGI 01_L10 (unscreened)",2721756062,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium","unclassified",33973,"JGI 01_L10","No","Environmental","Aquatic","Marine","Oceanic",1667492,1480,105,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2537561872,"Bacteria","Permanent Draft","Acinetobacter baumannii MSP4-16",2537561872,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",1278070,"MSP4-16","Yes","Environmental","Aquatic","Marine","Wetlands",3944542,3819,53,"Genome Analysis","Whole Genome Sequencing"
2728369441,"Bacteria","Permanent Draft","Acinetobacter sp. JdFR-94",2728369441,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. JdFR-94",1934978,"","No","Environmental","Aquatic","Marine","Volcanic",368906,465,117,"Genome from Metagenome","Metagenome"
2531839536,"Bacteria","Permanent Draft","Acinetobacter sp. NBRC 100985",2531839536,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. NBRC 100985",1071390,"NBRC 100985","Yes","Environmental","Aquatic","Marine","",3518097,3415,67,"Genome Analysis","Whole Genome Sequencing"
2651870143,"Bacteria","Draft","Acinetobacter sp. REDSEA-S21_B14",2651870143,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified",469,"","No","Environmental","Aquatic","Marine","",2612739,3085,517,"Genome from Metagenome","Metagenome"
2565956684,"Bacteria","Permanent Draft","Acinetobacter venetianus RAG-1",2565956684,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter venetianus",1191460,"RAG-1","Yes","Environmental","Aquatic","Marine","Unclassified",3431512,3320,21,"Genome Analysis","Whole Genome Sequencing"
2551306081,"Bacteria","Permanent Draft","Acinetobacter venetianus RAG-1",2551306081,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter venetianus",1191460,"RAG-1","Yes","Environmental","Aquatic","Marine","Unclassified",3464338,3370,87,"Genome Analysis","Whole Genome Sequencing"
2551306104,"Bacteria","Permanent Draft","Acinetobacter venetianus VE-C3",2551306104,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter venetianus",1197884,"VE-C3","Yes","Environmental","Aquatic","Marine","Unclassified",3543708,3515,10,"Genome Analysis","Whole Genome Sequencing"
2651870144,"Bacteria","Draft","Actinobacteria bacterium REDSEA-S36_B12",2651870144,"Actinobacteria","unclassified","unclassified","unclassified","unclassified","unclassified",201174,"","No","Environmental","Aquatic","Marine","",1374945,1734,255,"Genome from Metagenome","Metagenome"
2524023070,"Bacteria","Permanent Draft","Aequorivita capsosiphonis DSM 23843",2524023070,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita capsosiphonis",1120951,"DSM 23843","Yes","Environmental","Aquatic","Marine","Coastal",4042904,3681,26,"Genome Analysis","Whole Genome Sequencing"
2509276063,"Bacteria","Finished","Aequorivita sublithincola QSSC9-3, DSM 14238",2509276063,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita sublithincola",746697,"QSSC9-3, DSM 14238","Yes","Environmental","Aquatic","Marine","Unclassified",3520671,3242,1,"Genome Analysis","Whole Genome Sequencing"
645951844,"Bacteria","Permanent Draft","Aeromicrobium marinum DSM 15272",645951844,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium marinum",585531,"DSM 15272","Yes","Environmental","Aquatic","Marine","Unclassified",2585197,3625,1247,"Genome Analysis","Whole Genome Sequencing"
2651870146,"Bacteria","Draft","Aeromicrobium sp. REDSEA-S32_B7",2651870146,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","unclassified",2040,"","No","Environmental","Aquatic","Marine","",3581581,3794,333,"Genome from Metagenome","Metagenome"
2651870147,"Bacteria","Draft","Aeromicrobium sp. REDSEA-S35_B1",2651870147,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","unclassified",2040,"","No","Environmental","Aquatic","Marine","",3651628,3609,83,"Genome from Metagenome","Metagenome"
2651870148,"Bacteria","Draft","Aeromicrobium sp. REDSEA-S38_B2",2651870148,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","unclassified",2040,"","No","Environmental","Aquatic","Marine","",3628564,3608,104,"Genome from Metagenome","Metagenome"
2651870149,"Bacteria","Draft","Aeromicrobium sp. REDSEA-S42_B4",2651870149,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","unclassified",2040,"","No","Environmental","Aquatic","Marine","",3602450,3538,54,"Genome from Metagenome","Metagenome"
2651870150,"Bacteria","Draft","Aeromicrobium sp. REDSEA-S44_B1",2651870150,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","unclassified",2040,"","No","Environmental","Aquatic","Marine","",3643556,3560,44,"Genome from Metagenome","Metagenome"
2523533600,"Bacteria","Permanent Draft","Aestuariimicrobium kwangyangense DSM 21549",2523533600,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium","Aestuariimicrobium kwangyangense",1120954,"DSM 21549","Yes","Environmental","Aquatic","Marine","Oceanic",2990149,2692,5,"Genome Analysis","Whole Genome Sequencing"
648276617,"Bacteria","Permanent Draft","Ahrensia sp. R2A130",648276617,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ahrensia","Ahrensia sp. R2A130",744979,"R2A130","Yes","Environmental","Aquatic","Marine","Unclassified",3731054,3673,59,"Genome Analysis","Whole Genome Sequencing"
2721755952,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_B19 (contamination screened)",2721755952,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_B19","No","Environmental","Aquatic","Marine","Oceanic",558491,525,22,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721755938,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_B19 (unscreened)",2721755938,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_B19","No","Environmental","Aquatic","Marine","Oceanic",689556,676,52,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721756097,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_E21 (contamination screened)",2721756097,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_E21","No","Environmental","Aquatic","Marine","Oceanic",1595607,1544,88,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721756054,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_E21 (unscreened)",2721756054,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_E21","No","Environmental","Aquatic","Marine","Oceanic",1648110,1599,97,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2718218513,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_H12 (contamination screened)",2718218513,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_H12","No","Environmental","Aquatic","Marine","Oceanic",1395359,1389,104,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2718218512,"Bacteria","Permanent Draft","Alcanivorax bacterium JGI 01_H12 (unscreened)",2718218512,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","unclassified",59753,"JGI 01_H12","No","Environmental","Aquatic","Marine","Oceanic",1489836,1478,120,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
637000004,"Bacteria","Finished","Alcanivorax borkumensis SK2",637000004,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax borkumensis",393595,"SK2","Yes","Environmental","Aquatic","Marine","Unclassified",3120143,2817,1,"Genome Analysis","Whole Genome Sequencing"
2521172691,"Bacteria","Finished","Alcanivorax dieselolei B5",2521172691,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax dieselolei",930169,"B5, DSM 16502","Yes","Environmental","Aquatic","Marine","Oceanic",4928223,4470,1,"Genome Analysis","Whole Genome Sequencing"
2531839231,"Bacteria","Permanent Draft","Alcanivorax hongdengensis A-11-3",2531839231,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax hongdengensis",1177179,"A-11-3","Yes","Environmental","Aquatic","Marine","Oceanic",3664876,3459,93,"Genome Analysis","Whole Genome Sequencing"
2537562047,"Bacteria","Permanent Draft","Alcanivorax pacificus W11-5",2537562047,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax pacificus",391936,"W11-5","Yes","Environmental","Aquatic","Marine","Oceanic",4137438,3804,42,"Genome Analysis","Whole Genome Sequencing"
2519899678,"Bacteria","Permanent Draft","Algicola sagamiensis DSM 14643",2519899678,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","Algicola sagamiensis",1120963,"DSM 14643","Yes","Environmental","Aquatic","Marine","Coastal",4343428,4099,38,"Genome Analysis","Whole Genome Sequencing"
2698536714,"Bacteria","Permanent Draft","Algoriphagus halophilus DSM 15292",2698536714,"Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus halophilus",226505,"DSM 15292","Yes","Environmental","Aquatic","Marine","Intertidal zone",4978503,4209,8,"Genome Analysis","Whole Genome Sequencing"
2523533553,"Bacteria","Permanent Draft","Algoriphagus mannitolivorans DSM 15301",2523533553,"Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus mannitolivorans",1120965,"DSM 15301","Yes","Environmental","Aquatic","Marine","Intertidal zone",4152949,3700,22,"Genome Analysis","Whole Genome Sequencing"
2523533625,"Bacteria","Permanent Draft","Algoriphagus marincola DSM 16067",2523533625,"Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus marincola",1120966,"DSM 16067","Yes","Environmental","Aquatic","Marine","Coastal",4431678,3951,27,"Genome Analysis","Whole Genome Sequencing"
2523533543,"Bacteria","Permanent Draft","Aliagarivorans marinus DSM 23064",2523533543,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliagarivorans","Aliagarivorans marinus",1120969,"DSM 23064","Yes","Environmental","Aquatic","Marine","Coastal",4880415,4520,43,"Genome Analysis","Whole Genome Sequencing"
2524614757,"Bacteria","Permanent Draft","Aliagarivorans taiwanensis DSM 22990",2524614757,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliagarivorans","Aliagarivorans taiwanensis",1120970,"DSM 22990","Yes","Environmental","Aquatic","Marine","Unclassified",4415412,4225,81,"Genome Analysis","Whole Genome Sequencing"
2531839189,"Bacteria","Permanent Draft","Aliiglaciecola lipolytica E3",2531839189,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliiglaciecola","Aliiglaciecola lipolytica",1127673,"E3","Yes","Environmental","Aquatic","Marine","Unclassified",4842140,4373,76,"Genome Analysis","Whole Genome Sequencing"
2551306049,"Bacteria","Permanent Draft","Aliivibrio fischeri ZF-211",2551306049,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio","Aliivibrio fischeri",617135,"ZF-211","Yes","Environmental","Aquatic","Marine","Unclassified",4037340,3739,197,"Genome Analysis","Whole Genome Sequencing"
2551306056,"Bacteria","Permanent Draft","Aliivibrio logei 5S-186",2551306056,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio","Aliivibrio logei",626086,"5S-186","Yes","Environmental","Aquatic","Marine","Unclassified",4451230,4086,162,"Genome Analysis","Whole Genome Sequencing"
2531839095,"Bacteria","Permanent Draft","Alishewanella aestuarii B11",2531839095,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella aestuarii",1197174,"B11","Yes","Environmental","Aquatic","Marine","Intertidal zone",3588054,3454,43,"Genome Analysis","Whole Genome Sequencing"
2236347009,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA015-N04 (unscreened)",2236347009,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA015-N04",939296,"SCGC AAA015-N04","No","Environmental","Aquatic","Marine","Unclassified",1741570,1923,132,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347013,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA015-O19 (unscreened)",2236347013,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA015-O19",939301,"SCGC AAA015-O19","No","Environmental","Aquatic","Marine","Unclassified",1742668,1891,157,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347008,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA076-C03 (unscreened)",2236347008,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA076-C03",1007109,"SCGC AAA076-C03","No","Environmental","Aquatic","Marine","Unclassified",2000880,2028,107,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2619619257,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA076-E06 (unscreened)",2619619257,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA076-E06",1007110,"SCGC AAA076-E06","No","Environmental","Aquatic","Marine","Unclassified",221656,323,13,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347012,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA158-B04 (unscreened)",2236347012,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA158-B04",1007111,"SCGC AAA158-B04","No","Environmental","Aquatic","Marine","Unclassified",517150,558,70,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347006,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA158-M15 (unscreened)",2236347006,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA158-M15",1007112,"SCGC AAA158-M15","No","Environmental","Aquatic","Marine","Unclassified",403334,468,52,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347005,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA160-J14 (unscreened)",2236347005,"Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","alpha proteobacterium SCGC AAA160-J14",1007113,"SCGC AAA160-J14","No","Environmental","Aquatic","Marine","Unclassified",715397,817,60,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236661011,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA240-E13 (unscreened)",2236661011,"Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","unclassified","alpha proteobacterium SCGC AAA240-E13",939306,"SCGC AAA240-E13","No","Environmental","Aquatic","Marine","Unclassified",1401625,1621,151,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236661012,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA288-E13 (unscreened)",2236661012,"Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","unclassified","alpha proteobacterium SCGC AAA288-E13",939316,"SCGC AAA288-E13","No","Environmental","Aquatic","Marine","Unclassified",812863,948,106,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2236347014,"Bacteria","Permanent Draft","alpha proteobacterium SCGC AAA288-G21 (unscreened)",2236347014,"Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","unclassified","alpha proteobacterium SCGC AAA288-G21",939324,"SCGC AAA288-G21","No","Environmental","Aquatic","Marine","Unclassified",909786,1103,139,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
