"Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length.bp","GC.Content"
640969813,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000016",640963011,"Beggiatoa sp. PS",12,11555,0.43
640969814,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000017",640963011,"Beggiatoa sp. PS",9,11517,0.37
640969815,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000018",640963011,"Beggiatoa sp. PS",4,11514,0.39
640969816,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000019",640963011,"Beggiatoa sp. PS",15,11050,0.39
640969817,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000020",640963011,"Beggiatoa sp. PS",7,10793,0.38
640969818,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000021",640963011,"Beggiatoa sp. PS",5,10580,0.45
640969819,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000022",640963011,"Beggiatoa sp. PS",6,10450,0.39
640969820,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000023",640963011,"Beggiatoa sp. PS",12,9984,0.35
640969821,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000024",640963011,"Beggiatoa sp. PS",5,9968,0.37
640969822,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000025",640963011,"Beggiatoa sp. PS",9,9936,0.37
640969823,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000026",640963011,"Beggiatoa sp. PS",14,9872,0.4
640969824,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000027",640963011,"Beggiatoa sp. PS",7,9730,0.4
640969825,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000028",640963011,"Beggiatoa sp. PS",9,9724,0.35
640969826,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000029",640963011,"Beggiatoa sp. PS",4,9699,0.41
640969827,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000030",640963011,"Beggiatoa sp. PS",9,9569,0.36
640969828,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000031",640963011,"Beggiatoa sp. PS",7,9526,0.45
640969829,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000032",640963011,"Beggiatoa sp. PS",10,9345,0.38
640969830,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000033",640963011,"Beggiatoa sp. PS",9,9272,0.45
640969831,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000034",640963011,"Beggiatoa sp. PS",9,9196,0.37
640969832,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000035",640963011,"Beggiatoa sp. PS",13,9149,0.34
640969833,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000036",640963011,"Beggiatoa sp. PS",9,9065,0.39
640969834,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000037",640963011,"Beggiatoa sp. PS",10,9037,0.4
640969835,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000038",640963011,"Beggiatoa sp. PS",7,8948,0.38
640969836,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000039",640963011,"Beggiatoa sp. PS",12,8921,0.32
640969837,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000040",640963011,"Beggiatoa sp. PS",9,8838,0.39
640969838,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000041",640963011,"Beggiatoa sp. PS",4,8643,0.37
640969839,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000042",640963011,"Beggiatoa sp. PS",8,8580,0.41
640969840,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000043",640963011,"Beggiatoa sp. PS",5,8578,0.38
640969841,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000044",640963011,"Beggiatoa sp. PS",4,8567,0.4
640969842,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000045",640963011,"Beggiatoa sp. PS",8,8567,0.4
640969843,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000046",640963011,"Beggiatoa sp. PS",3,8513,0.41
640969844,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000047",640963011,"Beggiatoa sp. PS",9,8441,0.35
640969845,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000048",640963011,"Beggiatoa sp. PS",6,8439,0.39
640969846,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000049",640963011,"Beggiatoa sp. PS",3,8408,0.4
640969847,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000050",640963011,"Beggiatoa sp. PS",12,8399,0.37
640969848,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000051",640963011,"Beggiatoa sp. PS",16,8376,0.37
640969849,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000052",640963011,"Beggiatoa sp. PS",8,8349,0.36
640969850,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000053",640963011,"Beggiatoa sp. PS",2,8348,0.42
640969851,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000054",640963011,"Beggiatoa sp. PS",14,8280,0.35
640969852,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000055",640963011,"Beggiatoa sp. PS",7,8261,0.36
640969853,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000056",640963011,"Beggiatoa sp. PS",11,8241,0.36
640969854,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000057",640963011,"Beggiatoa sp. PS",8,8199,0.37
640969855,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000058",640963011,"Beggiatoa sp. PS",3,8184,0.39
640969856,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000059",640963011,"Beggiatoa sp. PS",11,8135,0.37
640969857,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000060",640963011,"Beggiatoa sp. PS",9,8099,0.35
640969858,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000061",640963011,"Beggiatoa sp. PS",8,8015,0.35
640969859,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000062",640963011,"Beggiatoa sp. PS",2,7842,0.41
640969860,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000063",640963011,"Beggiatoa sp. PS",3,7797,0.4
640969861,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000064",640963011,"Beggiatoa sp. PS",6,7731,0.38
640969862,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000065",640963011,"Beggiatoa sp. PS",4,7587,0.4
640969863,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000066",640963011,"Beggiatoa sp. PS",7,7531,0.36
640969864,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000067",640963011,"Beggiatoa sp. PS",3,7521,0.39
640969865,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000068",640963011,"Beggiatoa sp. PS",9,7519,0.38
640969866,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000069",640963011,"Beggiatoa sp. PS",5,7477,0.37
640969867,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000070",640963011,"Beggiatoa sp. PS",5,7457,0.39
640969868,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000071",640963011,"Beggiatoa sp. PS",11,7333,0.38
640969869,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000072",640963011,"Beggiatoa sp. PS",6,7310,0.38
640969870,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000073",640963011,"Beggiatoa sp. PS",11,7268,0.38
640969871,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000074",640963011,"Beggiatoa sp. PS",10,7267,0.39
640969872,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000075",640963011,"Beggiatoa sp. PS",1,7242,0.43
640969873,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000076",640963011,"Beggiatoa sp. PS",8,7172,0.4
640969874,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000077",640963011,"Beggiatoa sp. PS",9,7149,0.38
640969875,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000078",640963011,"Beggiatoa sp. PS",3,7054,0.42
640969876,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000079",640963011,"Beggiatoa sp. PS",8,6983,0.4
640969877,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000080",640963011,"Beggiatoa sp. PS",4,6966,0.42
640969878,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000081",640963011,"Beggiatoa sp. PS",7,6893,0.37
640969879,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000082",640963011,"Beggiatoa sp. PS",8,6870,0.39
640969880,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000083",640963011,"Beggiatoa sp. PS",9,6832,0.36
640969881,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000084",640963011,"Beggiatoa sp. PS",8,6814,0.38
640969882,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000085",640963011,"Beggiatoa sp. PS",13,6793,0.42
640969883,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000086",640963011,"Beggiatoa sp. PS",14,6777,0.37
640969884,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000087",640963011,"Beggiatoa sp. PS",7,6766,0.39
640969885,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000088",640963011,"Beggiatoa sp. PS",12,6738,0.38
640969886,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000089",640963011,"Beggiatoa sp. PS",4,6676,0.39
640969887,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000090",640963011,"Beggiatoa sp. PS",1,6610,0.39
640969888,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000091",640963011,"Beggiatoa sp. PS",5,6595,0.39
640969889,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000092",640963011,"Beggiatoa sp. PS",5,6551,0.37
640969890,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000093",640963011,"Beggiatoa sp. PS",6,6530,0.37
640969891,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000094",640963011,"Beggiatoa sp. PS",7,6510,0.37
640969892,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000095",640963011,"Beggiatoa sp. PS",14,6501,0.37
640969893,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000096",640963011,"Beggiatoa sp. PS",7,6479,0.38
640969894,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000097",640963011,"Beggiatoa sp. PS",6,6444,0.38
640969895,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000098",640963011,"Beggiatoa sp. PS",9,6407,0.38
640969896,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000099",640963011,"Beggiatoa sp. PS",8,6338,0.38
640969897,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000100",640963011,"Beggiatoa sp. PS",3,6321,0.38
640969898,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000101",640963011,"Beggiatoa sp. PS",7,6298,0.37
640969899,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000102",640963011,"Beggiatoa sp. PS",5,6290,0.43
640969900,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000103",640963011,"Beggiatoa sp. PS",4,6283,0.34
640969901,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000104",640963011,"Beggiatoa sp. PS",5,6252,0.41
640969902,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000105",640963011,"Beggiatoa sp. PS",7,6228,0.37
640969903,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000106",640963011,"Beggiatoa sp. PS",10,6205,0.38
640969904,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000107",640963011,"Beggiatoa sp. PS",5,6203,0.45
640969905,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000108",640963011,"Beggiatoa sp. PS",8,6184,0.37
640969906,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000109",640963011,"Beggiatoa sp. PS",10,6154,0.4
640969907,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000110",640963011,"Beggiatoa sp. PS",4,6152,0.39
640969908,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000111",640963011,"Beggiatoa sp. PS",6,6102,0.37
640969909,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000112",640963011,"Beggiatoa sp. PS",5,6061,0.37
640969910,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000113",640963011,"Beggiatoa sp. PS",2,6060,0.39
640969911,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000114",640963011,"Beggiatoa sp. PS",7,6043,0.36
640969912,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000115",640963011,"Beggiatoa sp. PS",5,5972,0.37
640969913,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000116",640963011,"Beggiatoa sp. PS",6,5945,0.37
640969914,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000117",640963011,"Beggiatoa sp. PS",6,5925,0.37
640969915,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000118",640963011,"Beggiatoa sp. PS",7,5909,0.38
640969916,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000119",640963011,"Beggiatoa sp. PS",5,5899,0.35
640969917,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000120",640963011,"Beggiatoa sp. PS",6,5895,0.38
640969918,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000121",640963011,"Beggiatoa sp. PS",5,5834,0.38
640969919,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000122",640963011,"Beggiatoa sp. PS",6,5805,0.37
640969920,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000123",640963011,"Beggiatoa sp. PS",9,5798,0.4
640969921,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000124",640963011,"Beggiatoa sp. PS",8,5797,0.34
640969922,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000125",640963011,"Beggiatoa sp. PS",7,5783,0.38
640969923,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000126",640963011,"Beggiatoa sp. PS",4,5782,0.41
640969924,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000127",640963011,"Beggiatoa sp. PS",5,5777,0.4
640969925,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000128",640963011,"Beggiatoa sp. PS",7,5764,0.37
640969926,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000129",640963011,"Beggiatoa sp. PS",4,5762,0.4
640969927,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000130",640963011,"Beggiatoa sp. PS",2,5757,0.45
640969928,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000131",640963011,"Beggiatoa sp. PS",3,5735,0.43
640969929,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000132",640963011,"Beggiatoa sp. PS",6,5732,0.37
640969930,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000133",640963011,"Beggiatoa sp. PS",7,5718,0.39
640969931,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000134",640963011,"Beggiatoa sp. PS",4,5691,0.39
640969932,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000135",640963011,"Beggiatoa sp. PS",4,5677,0.39
640969933,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000136",640963011,"Beggiatoa sp. PS",3,5660,0.38
640969934,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000137",640963011,"Beggiatoa sp. PS",3,5624,0.35
640969935,"Beggiatoa sp. PS contig20574: NZ_ABBZ01000138",640963011,"Beggiatoa sp. PS",0,5582,0.45
640969936,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000139",640963011,"Beggiatoa sp. PS",4,5568,0.35
640969937,"Beggiatoa sp. PS contig23302: NZ_ABBZ01000140",640963011,"Beggiatoa sp. PS",0,5561,0.41
640969938,"Beggiatoa sp. PS contig00383: NZ_ABBZ01000141",640963011,"Beggiatoa sp. PS",0,5550,0.46
640969939,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000142",640963011,"Beggiatoa sp. PS",3,5546,0.4
640969940,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000143",640963011,"Beggiatoa sp. PS",4,5536,0.42
640969941,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000144",640963011,"Beggiatoa sp. PS",5,5517,0.39
640969942,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000145",640963011,"Beggiatoa sp. PS",2,5513,0.42
640969943,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000146",640963011,"Beggiatoa sp. PS",9,5510,0.39
640969944,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000147",640963011,"Beggiatoa sp. PS",5,5494,0.38
640969945,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000148",640963011,"Beggiatoa sp. PS",5,5458,0.36
640969946,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000149",640963011,"Beggiatoa sp. PS",4,5453,0.37
640969947,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000150",640963011,"Beggiatoa sp. PS",3,5408,0.41
640969948,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000151",640963011,"Beggiatoa sp. PS",5,5393,0.37
640969949,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000152",640963011,"Beggiatoa sp. PS",1,5391,0.4
640969950,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000153",640963011,"Beggiatoa sp. PS",5,5365,0.35
640969951,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000154",640963011,"Beggiatoa sp. PS",5,5364,0.39
640969952,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000155",640963011,"Beggiatoa sp. PS",3,5357,0.4
640969953,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000156",640963011,"Beggiatoa sp. PS",4,5356,0.41
640969954,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000157",640963011,"Beggiatoa sp. PS",4,5348,0.4
640969955,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000158",640963011,"Beggiatoa sp. PS",2,5345,0.39
640969956,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000159",640963011,"Beggiatoa sp. PS",2,5328,0.4
640969957,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000160",640963011,"Beggiatoa sp. PS",5,5318,0.31
640969958,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000161",640963011,"Beggiatoa sp. PS",6,5300,0.39
640969959,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000162",640963011,"Beggiatoa sp. PS",2,5284,0.43
640969960,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000163",640963011,"Beggiatoa sp. PS",4,5283,0.41
640969961,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000164",640963011,"Beggiatoa sp. PS",3,5283,0.45
640969962,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000165",640963011,"Beggiatoa sp. PS",3,5261,0.4
640969963,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000166",640963011,"Beggiatoa sp. PS",4,5244,0.39
640969964,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000167",640963011,"Beggiatoa sp. PS",3,5229,0.4
640969965,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000168",640963011,"Beggiatoa sp. PS",6,5225,0.39
640969966,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000169",640963011,"Beggiatoa sp. PS",6,5210,0.38
640969967,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000170",640963011,"Beggiatoa sp. PS",6,5206,0.36
640969968,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000171",640963011,"Beggiatoa sp. PS",4,5166,0.4
640969969,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000172",640963011,"Beggiatoa sp. PS",3,5134,0.36
640969970,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000173",640963011,"Beggiatoa sp. PS",3,5125,0.39
640969971,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000174",640963011,"Beggiatoa sp. PS",4,5121,0.34
640969972,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000175",640963011,"Beggiatoa sp. PS",1,5107,0.39
640969973,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000176",640963011,"Beggiatoa sp. PS",1,5064,0.42
640969974,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000177",640963011,"Beggiatoa sp. PS",3,5061,0.37
640969975,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000178",640963011,"Beggiatoa sp. PS",4,4995,0.37
640969976,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000179",640963011,"Beggiatoa sp. PS",3,4991,0.42
640969977,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000180",640963011,"Beggiatoa sp. PS",5,4984,0.37
640969978,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000181",640963011,"Beggiatoa sp. PS",4,4938,0.42
640969979,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000182",640963011,"Beggiatoa sp. PS",5,4932,0.38
640969980,"Beggiatoa sp. PS contig22785: NZ_ABBZ01000183",640963011,"Beggiatoa sp. PS",0,4925,0.47
640969981,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000184",640963011,"Beggiatoa sp. PS",6,4921,0.39
640969982,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000185",640963011,"Beggiatoa sp. PS",4,4895,0.36
640969983,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000186",640963011,"Beggiatoa sp. PS",2,4883,0.4
640969984,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000187",640963011,"Beggiatoa sp. PS",3,4882,0.44
640969985,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000188",640963011,"Beggiatoa sp. PS",6,4880,0.36
640969986,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000189",640963011,"Beggiatoa sp. PS",6,4875,0.36
640969987,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000190",640963011,"Beggiatoa sp. PS",4,4860,0.39
640969988,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000191",640963011,"Beggiatoa sp. PS",7,4855,0.36
640969989,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000192",640963011,"Beggiatoa sp. PS",5,4853,0.4
640969990,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000193",640963011,"Beggiatoa sp. PS",7,4847,0.35
640969991,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000194",640963011,"Beggiatoa sp. PS",2,4842,0.4
640969992,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000195",640963011,"Beggiatoa sp. PS",3,4830,0.38
640969993,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000196",640963011,"Beggiatoa sp. PS",1,4829,0.42
640969994,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000197",640963011,"Beggiatoa sp. PS",3,4821,0.38
640969995,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000198",640963011,"Beggiatoa sp. PS",6,4808,0.38
640969996,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000199",640963011,"Beggiatoa sp. PS",4,4794,0.43
640969997,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000200",640963011,"Beggiatoa sp. PS",4,4778,0.38
640969998,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000201",640963011,"Beggiatoa sp. PS",6,4776,0.39
640969999,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000202",640963011,"Beggiatoa sp. PS",7,4765,0.34
640970000,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000203",640963011,"Beggiatoa sp. PS",1,4756,0.43
640970001,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000204",640963011,"Beggiatoa sp. PS",6,4734,0.34
640970002,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000205",640963011,"Beggiatoa sp. PS",5,4728,0.44
640970003,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000206",640963011,"Beggiatoa sp. PS",6,4697,0.4
640970004,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000207",640963011,"Beggiatoa sp. PS",5,4694,0.38
640970005,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000208",640963011,"Beggiatoa sp. PS",3,4680,0.37
640970006,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000209",640963011,"Beggiatoa sp. PS",4,4672,0.36
640970007,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000210",640963011,"Beggiatoa sp. PS",2,4664,0.39
