"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","IMG.Genome.ID"
"2506384651_Contig510",4933,"2506384651_Contig510-gene_49-gene_99",51,2,1,"","","gene_53-gene_99:16.41728074000752","gene_49-gene_98:7.60039048225476","","","2506384651"
"2506384651_Contig510",4933,"2506384651_Contig510-gene_533-gene_580",48,2,2,"","","gene_533-gene_580:15.61844975781839","gene_533-gene_580:8.52232727532290","","","2506384651"
"2506535004_Rahaq_Contig67",4366,"2506535004_Rahaq_Contig67-gene_3170-gene_3206",37,2,8,"gene_3171-gene_3200:11.45914510601555","","gene_3170-gene_3206:11.78768560174097","","","","2506535004"
"2506535022_Contig733",4613,"2506535022_Contig733-gene_3198-gene_3257",60,2,2,"","","gene_3198-gene_3257:8.11813313688709","","","","2506535022"
"2506535022_Contig733",4613,"2506535022_Contig733-gene_628-gene_691",64,2,3,"gene_643-gene_676:2.73079518401459","","gene_628-gene_691:23.95623801312379","gene_677-gene_691:4.28526678773906","","","2506535022"
"2506842945_Desaci_Contig243_1",4544,"2506842945_Desaci_Contig243_1-gene_1159-gene_1400",242,2,4,"gene_1211-gene_1259:5.26868292774431","","gene_1222-gene_1321:24.19547692721601;gene_1328-gene_1400:7.70391046070834","gene_1289-gene_1388:9.34020262361622;gene_1159-gene_1231:2.79416512561104","","gene_1175-gene_1231:3.95431069009518","2506842945"
"2506842945_Desaci_Contig243_1",4544,"2506842945_Desaci_Contig243_1-gene_1876-gene_1953",78,2,1,"","","gene_1876-gene_1953:15.48727874372573","gene_1876-gene_1953:10.90074654368786","","","2506842945"
"2507154666_Desme_Contig76_1",3071,"2507154666_Desme_Contig76_1-gene_1711-gene_1762",52,2,1,"","","gene_1711-gene_1762:15.56950226094772","gene_1714-gene_1762:8.25842265890964","","","2507154666"
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2020-gene_2084",65,2,1,"","","gene_2020-gene_2084:5.78551067145883","gene_2020-gene_2084:3.62849471635976","","","2507267694"
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_203-gene_232",30,2,1,"","","gene_203-gene_232:7.73026528150240","gene_203-gene_232:5.27678724494863","","","2507267694"
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2693-gene_2762",70,2,1,"","","gene_2693-gene_2762:7.30385318880602","gene_2736-gene_2762:3.59432724141512","","","2507267694"
"2507278055_DesniDRAFT_DNA_1",3041,"2507278055_DesniDRAFT_DNA_1-gene_2937-gene_2959",23,2,2,"","","gene_2937-gene_2959:3.56662468627706","","","","2507278055"
"2507278142_Desde_Contig64_1",4174,"2507278142_Desde_Contig64_1-gene_1009-gene_1088",80,2,5,"gene_1009-gene_1081:8.30885414971871","","gene_1011-gene_1088:34.18455940283716","","","","2507278142"
"2507278142_Desde_Contig64_1",4174,"2507278142_Desde_Contig64_1-gene_1297-gene_1331",35,2,3,"","","gene_1297-gene_1331:9.23700450792231","","","","2507278142"
"2507278142_Desde_Contig64_1",4174,"2507278142_Desde_Contig64_1-gene_3058-gene_3149",92,2,1,"","","gene_3058-gene_3149:17.98347021344965","gene_3074-gene_3144:12.83823524739674","","","2507278142"
"2507278142_Desde_Contig64_1",4174,"2507278142_Desde_Contig64_1-gene_4033-gene_4060",28,2,1,"","","gene_4033-gene_4060:3.98526932554307","","","","2507278142"
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2046-gene_2094",49,2,4,"","","gene_2046-gene_2094:9.11561078902785","","","","2507281626"
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2172-gene_2219",48,2,NA,"","gene_2192-gene_2212:3.06197464411211","gene_2172-gene_2215:10.75613864565942","gene_2172-gene_2219:3.99833948194041","","gene_2174-gene_2215:2.75033895147907","2507281626"
"2508501100_Desgi_Contig329_1",4593,"2508501100_Desgi_Contig329_1-gene_3319-gene_3417",99,2,2,"","","gene_3319-gene_3417:5.58965138470610","","","","2508501100"
"2508501100_Desgi_Contig329_1",4593,"2508501100_Desgi_Contig329_1-gene_4217-gene_4311",95,2,4,"gene_4222-gene_4272:2.30043058071888","","gene_4217-gene_4311:10.81382135466114","","","","2508501100"
"2508501100_Desgi_Contig329_1",4593,"2508501100_Desgi_Contig329_1-gene_4301-gene_4394",94,2,4,"gene_4326-gene_4370:3.82301168790960","","gene_4301-gene_4394:9.58212578806102","","gene_4314-gene_4376:3.85571415971341","","2508501100"
"2508501100_Desgi_Contig329_1",4593,"2508501100_Desgi_Contig329_1-gene_4317-gene_4394",78,2,4,"gene_4326-gene_4370:3.57705397654717","","gene_4317-gene_4394:9.23672427098630","","","","2508501100"
"2508501804_MetalDRAFT_MAF_1",3974,"2508501804_MetalDRAFT_MAF_1-gene_2292-gene_2367",76,2,1,"","gene_2358-gene_2367:4.55492235962299","gene_2297-gene_2366:11.40875747360488","gene_2292-gene_2359:4.76734114472781","","","2508501804"
"2508504277_DesU5LDRAFT_DUA_2",4008,"2508504277_DesU5LDRAFT_DUA_2-gene_1297-gene_1398",102,2,3,"","","gene_1299-gene_1398:32.21526942975356","gene_1297-gene_1396:19.28134010769045","","","2508504277"
"2508504277_DesU5LDRAFT_DUA_2",4008,"2508504277_DesU5LDRAFT_DUA_2-gene_1784-gene_1840",57,2,2,"","","gene_1786-gene_1840:24.67065622282413","gene_1784-gene_1839:7.07460398511848","","","2508504277"
"2508504277_DesU5LDRAFT_DUA_2",4008,"2508504277_DesU5LDRAFT_DUA_2-gene_2255-gene_2302",48,2,1,"","","gene_2255-gene_2302:18.62193953920082","gene_2256-gene_2292:3.80455953951405","","","2508504277"
"2508504277_DesU5LDRAFT_DUA_2",4008,"2508504277_DesU5LDRAFT_DUA_2-gene_825-gene_845",21,2,1,"","","gene_825-gene_845:6.42735524577823","","","","2508504277"
"2508504294_Dsui_Contig73_1",3539,"2508504294_Dsui_Contig73_1-gene_171-gene_217",47,2,2,"gene_171-gene_196:4.40610231480946","","gene_171-gene_217:15.16194430062383","","","","2508504294"
"2508504488_Thivi_Contig117_1",4581,"2508504488_Thivi_Contig117_1-gene_3484-gene_3542",59,2,1,"","","gene_3484-gene_3542:12.43286374030252","","","","2508504488"
"2508504488_Thivi_Contig117_1",4581,"2508504488_Thivi_Contig117_1-gene_4325-gene_4399",75,2,4,"gene_4340-gene_4396:3.47452246792724","","gene_4325-gene_4399:25.10652353002682","","","","2508504488"
"2508504488_Thivi_Contig117_1",4581,"2508504488_Thivi_Contig117_1-gene_4325-gene_4413",89,2,4,"gene_4340-gene_4396:2.95997047470153","","gene_4325-gene_4399:25.07451726566917","gene_4327-gene_4413:2.21525300795901","","","2508504488"
"2508523590_SpiGrapes_Contig97_1",3221,"2508523590_SpiGrapes_Contig97_1-gene_2755-gene_2804",50,2,2,"","","gene_2755-gene_2804:15.66044856054350","gene_2755-gene_2804:3.48247183365400","","","2508523590"
"2508527225_Haur_641228502",5226,"2508527225_Haur_641228502-gene_1384-gene_1491",108,2,1,"","","gene_1396-gene_1491:42.14969129377342","gene_1384-gene_1483:30.87993636713137","","","2508527225"
"2508527225_Haur_641228502",5226,"2508527225_Haur_641228502-gene_516-gene_605",90,2,2,"","","gene_516-gene_605:19.78588049611961","gene_516-gene_605:10.79570406198232","","","2508527225"
"2508527225_Haur_641228502",5226,"2508527225_Haur_641228502-gene_676-gene_722",47,2,2,"","","gene_682-gene_720:12.93463371383030","gene_676-gene_722:7.96055097352504","","","2508527225"
"2509292496_AlkimDRAFT_AIB_5",3177,"2509292496_AlkimDRAFT_AIB_5-gene_1199-gene_1232",34,2,1,"","","gene_1199-gene_1232:10.09929923780701","gene_1200-gene_1232:6.94420377212583","","","2509292496"
"2509292776_Syn6312_Contig100_1",3613,"2509292776_Syn6312_Contig100_1-gene_1090-gene_1158",69,2,2,"","","gene_1090-gene_1158:22.96163408122780","gene_1090-gene_1158:6.74096887811950","","","2509292776"
"2509297910_Spiaf_Contig254_1",2847,"2509297910_Spiaf_Contig254_1-gene_1558-gene_1598",41,2,2,"","","gene_1558-gene_1598:14.43302555317329","gene_1558-gene_1598:6.03563229453449","","","2509297910"
"2509604727_LepboDRAFT_LPC_1",5811,"2509604727_LepboDRAFT_LPC_1-gene_1269-gene_1368",100,2,1,"","","gene_1269-gene_1368:44.59730805843760","gene_1269-gene_1368:29.64337967114040","","","2509604727"
"2509604727_LepboDRAFT_LPC_1",5811,"2509604727_LepboDRAFT_LPC_1-gene_1842-gene_1941",100,2,3,"","","gene_1842-gene_1941:38.62738096153491","gene_1846-gene_1941:24.03101703240426","","","2509604727"
"2509604727_LepboDRAFT_LPC_1",5811,"2509604727_LepboDRAFT_LPC_1-gene_4437-gene_4546",110,2,2,"","","gene_4449-gene_4546:43.34945646141530","gene_4437-gene_4530:29.80495767502599","","","2509604727"
"2509604732_Nos7524_Contig213_1",5398,"2509604732_Nos7524_Contig213_1-gene_3061-gene_3150",90,2,3,"","","gene_3061-gene_3133:21.35653777771885","gene_3061-gene_3150:11.58321816443054","","","2509604732"
"2509605152_CytfeDRAFT_CFC_3",4520,"2509605152_CytfeDRAFT_CFC_3-gene_1759-gene_1818",60,2,1,"","","gene_1759-gene_1818:21.52965184714783","gene_1760-gene_1818:12.43875551606235","","","2509605152"
"2509605152_CytfeDRAFT_CFC_3",4520,"2509605152_CytfeDRAFT_CFC_3-gene_330-gene_418",89,2,1,"","","gene_330-gene_418:8.13530172393207","gene_330-gene_414:4.42755181045285","","","2509605152"
"2509605263_FlemaDRAFT_FME_6",4279,"2509605263_FlemaDRAFT_FME_6-gene_1260-gene_1331",72,2,1,"","","gene_1260-gene_1331:30.42734360156584","gene_1260-gene_1331:16.37806262621317","","","2509605263"
"2509605263_FlemaDRAFT_FME_6",4279,"2509605263_FlemaDRAFT_FME_6-gene_1981-gene_2034",54,2,2,"","","gene_1981-gene_2034:20.78905550284124","gene_1981-gene_2031:16.13180656986716","","","2509605263"
"2510065581_Riv7116_Contig398_1",6626,"2510065581_Riv7116_Contig398_1-gene_1609-gene_1692",84,2,1,"","","gene_1614-gene_1692:9.54761775321848","gene_1609-gene_1692:5.14529194857054","","","2510065581"
"2510066875_PGA1_c",3653,"2510066875_PGA1_c-gene_1821-gene_1870",50,2,5,"gene_1821-gene_1855:7.75524641738013","","gene_1821-gene_1870:19.91048708815577","gene_1856-gene_1869:3.72774268180397","","","2510066875"
"2510066875_PGA1_c",3653,"2510066875_PGA1_c-gene_2218-gene_2270",53,2,3,"","","gene_2220-gene_2270:20.53544441392276","gene_2218-gene_2270:6.50587839282460","","","2510066875"
"2510067253_CP002826",3411,"2510067253_CP002826-gene_1442-gene_1497",56,2,4,"","","gene_1442-gene_1497:2.47779620164758","","","","2510067253"
"2510067253_CP002826",3411,"2510067253_CP002826-gene_1882-gene_1921",40,2,4,"","","gene_1882-gene_1921:10.99990554841487","gene_1896-gene_1921:2.96452187399181","","","2510067253"
"2510067253_CP002826",3411,"2510067253_CP002826-gene_2403-gene_2479",77,2,4,"","","gene_2403-gene_2479:29.15013094949288","gene_2403-gene_2469:6.62326167038596","","","2510067253"
"2510067253_CP002826",3411,"2510067253_CP002826-gene_3117-gene_3183",67,2,3,"","","gene_3117-gene_3183:9.08706012038196","","","","2510067253"
"2510067256_RLO149c",4349,"2510067256_RLO149c-gene_2219-gene_2234",16,2,2,"","","gene_2219-gene_2234:4.97138506325790","","","","2510067256"
"2511244342_AdhaqDRAFT_Scaffold1_4",4133,"2511244342_AdhaqDRAFT_Scaffold1_4-gene_1250-gene_1298",49,2,2,"","","gene_1250-gene_1298:20.84848265878804","gene_1250-gene_1298:11.30435379732333","","","2511244342"
"2511244342_AdhaqDRAFT_Scaffold1_4",4133,"2511244342_AdhaqDRAFT_Scaffold1_4-gene_2265-gene_2352",88,2,3,"","","gene_2267-gene_2343:38.73849286299336","gene_2265-gene_2352:14.12051277338143","","gene_2285-gene_2338:2.93032848727207","2511244342"
"2511244342_AdhaqDRAFT_Scaffold1_4",4133,"2511244342_AdhaqDRAFT_Scaffold1_4-gene_2436-gene_2524",89,2,2,"","","gene_2449-gene_2524:40.04232644484734","gene_2436-gene_2523:21.94386445615363","","gene_2453-gene_2523:3.89336830966468","2511244342"
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_672-gene_732",61,2,4,"gene_674-gene_732:5.57760757039806","","gene_672-gene_732:28.51315417630385","","","","2511244427"
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_909-gene_925",17,2,1,"","","gene_909-gene_925:3.89476123333644","","","","2511244427"
"2511244440_NC_016642",4941,"2511244440_NC_016642-gene_2225-gene_2256",32,2,7,"gene_2227-gene_2250:3.89769251123957","","gene_2225-gene_2256:13.41671711810251","","","","2511244440"
"2511244440_NC_016642",4941,"2511244440_NC_016642-gene_2943-gene_3005",63,2,5,"gene_2962-gene_2994:2.97806580753824","","gene_2943-gene_3005:16.85365740850088","","","","2511244440"
"2511244531_NC_016593",3546,"2511244531_NC_016593-gene_246-gene_311",66,2,6,"gene_246-gene_310:46.11753060429183","","gene_246-gene_311:38.07186657059869","","gene_257-gene_310:2.61649785959739","","2511244531"
"2511244540_NC_016613",3083,"2511244540_NC_016613-gene_1475-gene_1519",45,2,NA,"gene_1506-gene_1519:3.95884101625640","","gene_1475-gene_1519:11.48513726748464","gene_1475-gene_1498:5.42273454385592","","","2511244540"
"2511244540_NC_016613",3083,"2511244540_NC_016613-gene_1886-gene_1972",87,2,3,"gene_1920-gene_1966:3.29679639924267","","gene_1886-gene_1972:27.25647035518925","gene_1886-gene_1969:4.19986946149669","","","2511244540"
"2511244648_AP012048",2869,"2511244648_AP012048-gene_1853-gene_1907",55,2,2,"","","gene_1853-gene_1907:11.51376392724166","","","","2511244648"
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3164-gene_3224",61,2,6,"gene_3173-gene_3190:2.99268784223872","","gene_3164-gene_3224:25.20366986557283","gene_3191-gene_3224:7.45580889777143","","","2512205695"
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3566-gene_3646",81,2,5,"gene_3590-gene_3646:3.57054599422194","","gene_3566-gene_3643:25.68111865136930","","","gene_3570-gene_3641:3.78372788569503","2512205695"
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_1-gene_35",35,2,1,"","","gene_1-gene_35:8.06982959511721","gene_1-gene_35:2.86327170707909","","","2512211939"
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_2735-gene_2790",56,2,1,"gene_2739-gene_2778:6.01283675344448","","gene_2735-gene_2790:19.23374296564739","","","","2512211939"
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_3366-gene_3405",40,2,1,"","","gene_3366-gene_3405:16.91983857151098","gene_3366-gene_3396:11.20070517544461","","gene_3371-gene_3394:7.64590228711917","2512211939"
"2512564981_CP003380",2550,"2512564981_CP003380-gene_769-gene_819",51,2,1,"gene_776-gene_818:11.67996797398023","","gene_769-gene_819:13.82789612767442","","","","2512564981"
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1289-gene_1357",69,2,3,"","","gene_1289-gene_1357:30.16827528406153","gene_1289-gene_1355:5.04042374328119","","","2512569605"
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1786-gene_1861",76,2,3,"","","gene_1786-gene_1861:2.19769706258489","","","","2512569605"
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_2139-gene_2184",46,2,2,"gene_2143-gene_2184:6.32633481600514","","gene_2139-gene_2184:15.89195433194545","","","","2512569605"
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_3039-gene_3094",56,2,4,"","","gene_3039-gene_3094:8.89283083071058","","","","2512569605"
"2512571797_NC_016944",2637,"2512571797_NC_016944-gene_1342-gene_1442",101,2,3,"gene_1343-gene_1442:14.26471095129233","gene_1342-gene_1353:20.24996658145778","gene_1384-gene_1442:31.25537956366206;gene_1342-gene_1368:7.31463569440274","","","","2512571797"
"2512571797_NC_016944",2637,"2512571797_NC_016944-gene_1720-gene_1743",24,2,1,"","","gene_1720-gene_1743:5.48130271002681","","","","2512571797"
"2512571803_NC_016940",3406,"2512571803_NC_016940-gene_584-gene_678",95,2,1,"","","gene_584-gene_678:3.04195778504738","","","","2512571803"
"2513024934_NitalDRAFT_Scaffold1_1",5250,"2513024934_NitalDRAFT_Scaffold1_1-gene_4664-gene_4682",19,2,2,"","","gene_4664-gene_4682:2.20227014712641","","","","2513024934"
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1",4264,"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1652-gene_1755",104,2,2,"","","gene_1652-gene_1728:23.77428497974767","gene_1656-gene_1755:6.65299744877673","","gene_1653-gene_1744:2.97286933465374","2513256208"
"2513260677_NC_017464",3145,"2513260677_NC_017464-gene_70-gene_104",35,2,2,"","","gene_70-gene_104:9.36180271889214","","","","2513260677"
"2515171108_NC_015573",3637,"2515171108_NC_015573-gene_1068-gene_1171",104,2,2,"","","gene_1072-gene_1171:18.39426126663836","gene_1068-gene_1156:10.49185997566462","","","2515171108"
"2516143873_scaffold1",4952,"2516143873_scaffold1-gene_1378-gene_1437",60,2,3,"gene_1410-gene_1433:5.11408906561064","","gene_1378-gene_1437:33.96365091593868","gene_1378-gene_1409:3.99129374297286","","","2516143873"
"2516143873_scaffold1",4952,"2516143873_scaffold1-gene_1611-gene_1675",65,2,2,"gene_1613-gene_1675:2.35280287965160","","gene_1611-gene_1675:17.99538283215645","","","","2516143873"
"2516143873_scaffold1",4952,"2516143873_scaffold1-gene_282-gene_373",92,2,2,"","","gene_282-gene_373:19.86550593425016","gene_285-gene_372:2.56012663841079","","gene_336-gene_364:4.15182786732281","2516143873"
"2516143873_scaffold1",4952,"2516143873_scaffold1-gene_484-gene_583",100,2,1,"","","gene_484-gene_583:5.33296291223644","","","","2516143873"
"2516144862_scaffold1",5237,"2516144862_scaffold1-gene_3018-gene_3099",82,2,3,"","","gene_3022-gene_3099:32.51772996140593","gene_3018-gene_3099:14.62539494061652","","","2516144862"
"2516493501_MetLW4DRAFT_scaffold1_1",3752,"2516493501_MetLW4DRAFT_scaffold1_1-gene_1312-gene_1393",82,2,3,"","","gene_1312-gene_1389:37.59657501186766","gene_1313-gene_1393:10.74925345560668","","","2516493501"
"2516493501_MetLW4DRAFT_scaffold1_1",3752,"2516493501_MetLW4DRAFT_scaffold1_1-gene_2277-gene_2348",72,2,3,"gene_2286-gene_2322:2.06721791242018","","gene_2279-gene_2348:27.72432231980823","gene_2277-gene_2347:5.38466241071973","","","2516493501"
"2516493516_NitteDRAFT_scaffold1_1-circular",1953,"2516493516_NitteDRAFT_scaffold1_1-circular-gene_1828-gene_1876",49,2,1,"","","gene_1828-gene_1876:3.24930848371834","","","","2516493516"
"2516675192_A3OQDRAFT_chromosome1_1-circular",4004,"2516675192_A3OQDRAFT_chromosome1_1-circular-gene_3648-gene_3684",37,2,2,"","","gene_3648-gene_3684:7.96020219080313","","","","2516675192"
